,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,UBW,UBL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
20,1,Adelaide,Next Generation Adelaide International,20080301,International,Outdoor,Hard,2nd Round,3,Nieminen J.,Dancevic F.,27.0,72.0,995.0,521.0,6.0,4.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.44,2.62,1.53,2.4,1.444,2.625,1.469,2.93,1.47,2.6,2008-339,Adelaide,Hard,32.0,A,20071231.0,19.0,103813.0,3.0,,Jarkko Nieminen,L,185.0,FIN,26.4,104433.0,,Q,Frank Dancevic,R,185.0,CAN,23.2,6-4 6-1,3.0,R16,57.0,2.0,0.0,52.0,31.0,24.0,13.0,8.0,3.0,3.0,5.0,2.0,52.0,32.0,22.0,6.0,9.0,3.0,7.0,27.0,995.0,72.0,521.0
21,1,Adelaide,Next Generation Adelaide International,20080301,International,Outdoor,Hard,2nd Round,3,Hewitt L.,Acasuso J.,21.0,65.0,1365.0,566.0,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.28,3.5,1.2,4.45,1.167,4.5,1.21,5.36,1.2,4.35,2008-339,Adelaide,Hard,32.0,A,20071231.0,17.0,103720.0,1.0,,Lleyton Hewitt,R,180.0,AUS,26.8,104076.0,,,Jose Acasuso,R,190.0,ARG,25.1,6-2 6-2,3.0,R16,61.0,8.0,3.0,43.0,14.0,13.0,21.0,8.0,1.0,1.0,0.0,4.0,46.0,21.0,13.0,9.0,8.0,4.0,8.0,21.0,1365.0,65.0,566.0
22,1,Adelaide,Next Generation Adelaide International,20080301,International,Outdoor,Hard,2nd Round,3,Spadea V.,Zverev M.,77.0,88.0,515.0,468.0,6.0,3.0,7.0,5.0,,,,,,,2.0,0.0,Completed,2.0,1.72,2.15,1.65,2.0,1.727,2.13,1.813,1.92,1.84,2008-339,Adelaide,Hard,32.0,A,20071231.0,20.0,102434.0,,,Vincent Spadea,R,183.0,USA,33.4,104999.0,,,Mischa Zverev,L,190.0,GER,20.3,6-3 7-5,3.0,R16,80.0,2.0,3.0,74.0,46.0,33.0,14.0,11.0,4.0,5.0,2.0,1.0,65.0,50.0,33.0,6.0,10.0,4.0,7.0,77.0,515.0,88.0,468.0
23,1,Adelaide,Next Generation Adelaide International,20080301,International,Outdoor,Hard,2nd Round,3,Tsonga J.W.,Gulbis E.,43.0,61.0,714.0,585.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.53,2.37,1.5,2.45,1.571,2.25,1.575,2.64,1.52,2.46,2008-339,Adelaide,Hard,32.0,A,20071231.0,18.0,104542.0,6.0,,Jo-Wilfried Tsonga,R,188.0,FRA,22.7,105208.0,,,Ernests Gulbis,R,190.0,LAT,19.3,6-3 6-2,3.0,R16,62.0,10.0,1.0,52.0,33.0,29.0,11.0,9.0,3.0,3.0,3.0,3.0,60.0,40.0,24.0,7.0,8.0,4.0,7.0,43.0,714.0,61.0,585.0
24,1,Adelaide,Next Generation Adelaide International,20080401,International,Outdoor,Hard,Quarterfinals,3,Llodra M.,Becker B.,93.0,84.0,460.0,476.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.83,1.83,1.85,1.9,1.833,1.833,1.901,2.01,1.81,1.96,2008-339,Adelaide,Hard,32.0,A,20071231.0,27.0,103566.0,,,Michael Llodra,L,190.0,FRA,27.6,103794.0,,,Benjamin Becker,R,178.0,GER,26.5,7-6(5) 6-4,3.0,QF,110.0,17.0,3.0,82.0,47.0,37.0,21.0,11.0,4.0,4.0,10.0,2.0,76.0,46.0,32.0,19.0,11.0,2.0,3.0,93.0,460.0,84.0,476.0
25,1,Adelaide,Next Generation Adelaide International,20080401,International,Outdoor,Hard,Quarterfinals,3,Sirianni J.,Mathieu P.H.,195.0,25.0,218.0,1320.0,1.0,6.0,6.0,1.0,7.0,6.0,,,,,2.0,1.0,Completed,4.33,1.2,4.25,1.2,4.5,1.167,5.55,1.198,5.0,1.16,2008-339,Adelaide,Hard,32.0,A,20071231.0,28.0,102512.0,,WC,Joseph Sirianni,R,175.0,AUS,32.9,103908.0,2.0,,Paul Henri Mathieu,R,185.0,FRA,25.9,1-6 6-1 7-6(6),3.0,QF,133.0,17.0,4.0,102.0,49.0,39.0,27.0,13.0,7.0,9.0,12.0,6.0,93.0,45.0,32.0,27.0,13.0,5.0,7.0,195.0,218.0,25.0,1320.0
26,1,Adelaide,Next Generation Adelaide International,20080401,International,Outdoor,Hard,Quarterfinals,3,Tsonga J.W.,Hewitt L.,43.0,21.0,714.0,1365.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,3.75,1.25,3.75,1.25,3.5,1.286,4.05,1.299,3.62,1.27,2008-339,Adelaide,Hard,32.0,A,20071231.0,25.0,104542.0,6.0,,Jo-Wilfried Tsonga,R,188.0,FRA,22.7,103720.0,1.0,,Lleyton Hewitt,R,180.0,AUS,26.8,6-4 6-2,3.0,QF,80.0,14.0,3.0,64.0,41.0,29.0,10.0,9.0,5.0,6.0,0.0,3.0,52.0,26.0,14.0,14.0,9.0,3.0,7.0,43.0,714.0,21.0,1365.0
27,1,Adelaide,Next Generation Adelaide International,20080401,International,Outdoor,Hard,Quarterfinals,3,Nieminen J.,Spadea V.,27.0,77.0,995.0,515.0,7.0,6.0,6.0,7.0,7.0,6.0,,,,,2.0,1.0,Completed,1.28,3.5,1.33,3.17,1.333,3.25,1.303,4.0,1.33,3.2,2008-339,Adelaide,Hard,32.0,A,20071231.0,26.0,103813.0,3.0,,Jarkko Nieminen,L,185.0,FIN,26.4,102434.0,,,Vincent Spadea,R,183.0,USA,33.4,7-6(5) 6-7(7) 7-6(5),3.0,QF,166.0,9.0,4.0,132.0,99.0,70.0,13.0,18.0,5.0,8.0,6.0,3.0,138.0,81.0,57.0,27.0,18.0,9.0,12.0,27.0,995.0,77.0,515.0
28,1,Adelaide,Next Generation Adelaide International,20080501,International,Outdoor,Hard,Semifinals,3,Llodra M.,Sirianni J.,93.0,195.0,460.0,218.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.53,2.37,1.48,2.53,1.571,2.25,1.552,2.71,1.5,2.52,2008-339,Adelaide,Hard,32.0,A,20071231.0,30.0,103566.0,,,Michael Llodra,L,190.0,FRA,27.6,102512.0,,WC,Joseph Sirianni,R,175.0,AUS,32.9,6-3 7-6(8),3.0,SF,98.0,14.0,0.0,63.0,38.0,34.0,18.0,11.0,2.0,2.0,7.0,4.0,76.0,38.0,27.0,20.0,10.0,3.0,4.0,93.0,460.0,195.0,218.0
29,1,Adelaide,Next Generation Adelaide International,20080501,International,Outdoor,Hard,Semifinals,3,Nieminen J.,Tsonga J.W.,27.0,43.0,995.0,714.0,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.0,1.72,2.1,1.7,2.1,1.667,2.45,1.645,2.34,1.57,2008-339,Adelaide,Hard,32.0,A,20071231.0,29.0,103813.0,3.0,,Jarkko Nieminen,L,185.0,FIN,26.4,104542.0,6.0,,Jo-Wilfried Tsonga,R,188.0,FRA,22.7,6-2 6-4,3.0,SF,64.0,3.0,2.0,55.0,42.0,34.0,5.0,9.0,3.0,3.0,5.0,2.0,50.0,30.0,24.0,6.0,9.0,4.0,7.0,27.0,995.0,43.0,714.0
