,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
21,1,Adelaide,AAPT Championships,20011231,International,Outdoor,Hard,2nd Round,3,Martin T.,Llodra M.,57,89,7.0,5.0,6.0,4.0,,,,,,,2,0,Completed,,,1.38,2.75,1.4,2.5,1.35,2.5,1.4,2.75,2002-339,Adelaide,Hard,32.0,A,20011231.0,24.0,101774.0,,,Todd Martin,R,198.0,USA,31.4,103566.0,,,Michael Llodra,L,190.0,FRA,21.6,7-5 6-4,3.0,R16,75.0,6.0,1.0,58.0,39.0,32.0,11.0,11.0,3.0,4.0,8.0,5.0,66.0,32.0,24.0,18.0,11.0,5.0,8.0,57.0,620.0,89.0,464.0
22,1,Adelaide,AAPT Championships,20011231,International,Outdoor,Hard,2nd Round,3,Philippoussis M.,Schalken S.,104,26,6.0,0.0,6.0,3.0,,,,,,,2,0,Completed,,,1.65,2.1,1.65,2.0,1.65,1.85,,,2002-339,Adelaide,Hard,32.0,A,20011231.0,23.0,102882.0,,WC,Mark Philippoussis,R,196.0,AUS,25.1,102854.0,5.0,,Sjeng Schalken,R,193.0,NED,25.3,6-0 6-3,3.0,R16,57.0,12.0,2.0,41.0,21.0,19.0,14.0,8.0,0.0,0.0,0.0,0.0,37.0,28.0,11.0,6.0,7.0,0.0,4.0,104.0,400.0,26.0,1140.0
23,1,Adelaide,AAPT Championships,20011231,International,Outdoor,Hard,2nd Round,3,Rusedski G.,Draper S.,31,221,6.0,1.0,3.0,6.0,6.0,4.0,,,,,2,1,Completed,,,1.25,3.5,1.25,3.15,1.25,3.0,,,2002-339,Adelaide,Hard,32.0,A,20011231.0,18.0,102257.0,6.0,,Greg Rusedski,L,193.0,GBR,28.3,102401.0,,WC,Scott Draper,L,178.0,AUS,27.5,6-1 3-6 6-4,3.0,R16,89.0,15.0,5.0,86.0,61.0,46.0,12.0,13.0,8.0,9.0,4.0,1.0,70.0,42.0,26.0,17.0,13.0,1.0,4.0,31.0,1075.0,221.0,165.0
24,1,Adelaide,AAPT Championships,20011231,International,Outdoor,Hard,Quarterfinals,3,Arazi H.,Ljubicic I.,25,37,4.0,1.0,,,,,,,,,0,0,Retired,,,,,,,,,,,2002-339,Adelaide,Hard,32.0,A,20011231.0,27.0,102271.0,4.0,,Hicham Arazi,L,175.0,MAR,28.1,103344.0,8.0,,Ivan Ljubicic,R,193.0,CRO,22.7,4-1 RET,3.0,QF,31.0,1.0,0.0,10.0,7.0,6.0,2.0,3.0,0.0,0.0,2.0,1.0,28.0,11.0,7.0,6.0,3.0,4.0,6.0,25.0,1155.0,37.0,982.0
25,1,Adelaide,AAPT Championships,20011231,International,Outdoor,Hard,Quarterfinals,3,Henman T.,Rusedski G.,9,31,6.0,4.0,6.0,4.0,,,,,,,2,0,Completed,,,1.55,2.3,1.52,2.2,1.55,2.0,1.533,2.375,2002-339,Adelaide,Hard,32.0,A,20011231.0,25.0,102450.0,1.0,,Tim Henman,R,185.0,GBR,27.3,102257.0,6.0,,Greg Rusedski,L,193.0,GBR,28.3,6-4 6-4,3.0,QF,72.0,2.0,2.0,57.0,41.0,27.0,11.0,10.0,0.0,1.0,5.0,1.0,54.0,31.0,24.0,11.0,10.0,3.0,6.0,9.0,2100.0,31.0,1075.0
26,1,Adelaide,AAPT Championships,20011231,International,Outdoor,Hard,Quarterfinals,3,Martin A.,Enqvist T.,41,24,3.0,6.0,6.0,4.0,6.0,3.0,,,,,2,1,Completed,,,3.2,1.3,3.3,1.25,3.0,1.25,3.2,1.3,2002-339,Adelaide,Hard,32.0,A,20011231.0,26.0,103252.0,,,Alberto Martin,R,175.0,ESP,23.3,102358.0,3.0,,Thomas Enqvist,R,190.0,SWE,27.8,3-6 6-4 6-3,3.0,QF,117.0,0.0,10.0,87.0,48.0,33.0,20.0,14.0,3.0,6.0,5.0,4.0,90.0,50.0,32.0,20.0,14.0,0.0,4.0,41.0,933.0,24.0,1165.0
27,1,Adelaide,AAPT Championships,20011231,International,Outdoor,Hard,Quarterfinals,3,Philippoussis M.,Martin T.,104,57,4.0,6.0,6.0,2.0,6.0,2.0,,,,,2,1,Completed,,,1.42,2.65,1.37,2.6,1.4,2.3,,,2002-339,Adelaide,Hard,32.0,A,20011231.0,28.0,102882.0,,WC,Mark Philippoussis,R,196.0,AUS,25.1,101774.0,,,Todd Martin,R,198.0,USA,31.4,4-6 6-2 6-2,3.0,QF,106.0,18.0,2.0,72.0,39.0,33.0,20.0,13.0,3.0,4.0,13.0,6.0,88.0,53.0,41.0,11.0,13.0,7.0,11.0,104.0,400.0,57.0,620.0
28,1,Adelaide,AAPT Championships,20011231,International,Outdoor,Hard,Semifinals,3,Henman T.,Martin A.,9,41,7.0,5.0,4.0,6.0,6.0,2.0,,,,,2,1,Completed,,,,,,,,,,,2002-339,Adelaide,Hard,32.0,A,20011231.0,29.0,102450.0,1.0,,Tim Henman,R,185.0,GBR,27.3,103252.0,,,Alberto Martin,R,175.0,ESP,23.3,7-5 4-6 6-2,3.0,SF,130.0,1.0,3.0,93.0,62.0,46.0,10.0,15.0,5.0,8.0,1.0,6.0,94.0,66.0,39.0,15.0,15.0,7.0,12.0,9.0,2100.0,41.0,933.0
29,1,Adelaide,AAPT Championships,20011231,International,Outdoor,Hard,Semifinals,3,Philippoussis M.,Arazi H.,104,25,6.0,4.0,6.0,1.0,,,,,,,2,0,Completed,,,,,,,,,,,2002-339,Adelaide,Hard,32.0,A,20011231.0,30.0,102882.0,,WC,Mark Philippoussis,R,196.0,AUS,25.1,102271.0,4.0,,Hicham Arazi,L,175.0,MAR,28.1,6-4 6-1,3.0,SF,70.0,10.0,2.0,54.0,26.0,22.0,15.0,9.0,1.0,2.0,2.0,1.0,53.0,28.0,14.0,16.0,8.0,5.0,9.0,104.0,400.0,25.0,1155.0
30,1,Adelaide,AAPT Championships,20011231,International,Outdoor,Hard,The Final,3,Henman T.,Philippoussis M.,9,104,6.0,4.0,6.0,7.0,6.0,3.0,,,,,2,1,Completed,,,2.2,1.62,1.95,1.67,1.85,1.65,2.0,1.727,2002-339,Adelaide,Hard,32.0,A,20011231.0,31.0,102450.0,1.0,,Tim Henman,R,185.0,GBR,27.3,102882.0,,WC,Mark Philippoussis,R,196.0,AUS,25.1,6-4 6-7(6) 6-3,3.0,F,143.0,4.0,0.0,100.0,74.0,48.0,17.0,15.0,4.0,6.0,11.0,8.0,109.0,61.0,47.0,22.0,16.0,8.0,13.0,9.0,2100.0,104.0,400.0
