,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
20,1,Brisbane,Brisbane International,20170601,ATP250,Outdoor,Hard,Quarterfinals,3,Wawrinka S.,Edmund K.,4,45.0,5315,1001.0,6.0,7.0,6.0,4.0,6.0,4.0,,,,,2.0,1.0,Completed,1.28,3.5,1.3,3.0,1.3,3.4,1.33,3.77,1.33,3.8,1.3,3.48,2017-M020,Brisbane,Hard,32.0,A,20170102.0,294.0,104527.0,2.0,,Stan Wawrinka,R,183.0,SUI,31.7,106378.0,,,Kyle Edmund,R,188.0,GBR,21.9,6-7(2) 6-4 6-4,3.0,QF,156.0,11.0,3.0,119.0,67.0,47.0,28.0,16.0,11.0,13.0,2.0,2.0,97.0,65.0,52.0,11.0,16.0,6.0,10.0,4.0,5315.0,45.0,1001.0
21,1,Brisbane,Brisbane International,20170601,ATP250,Outdoor,Hard,Quarterfinals,3,Nishikori K.,Thompson J.,5,79.0,4905,689.0,6.0,1.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.16,5.0,1.12,4.75,1.17,5.0,1.15,6.73,1.2,6.73,1.15,5.52,2017-M020,Brisbane,Hard,32.0,A,20170102.0,295.0,105453.0,3.0,,Kei Nishikori,R,178.0,JPN,27.0,111442.0,,WC,Jordan Thompson,R,183.0,AUS,22.7,6-1 6-1,3.0,QF,61.0,3.0,0.0,34.0,19.0,18.0,10.0,7.0,0.0,0.0,1.0,2.0,47.0,28.0,15.0,5.0,7.0,3.0,8.0,5.0,4905.0,79.0,689.0
22,1,Brisbane,Brisbane International,20170601,ATP250,Outdoor,Hard,Quarterfinals,3,Dimitrov G.,Thiem D.,17,8.0,2035,3415.0,6.0,3.0,4.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,1.66,2.1,1.62,2.05,1.73,2.1,1.68,2.36,1.78,2.36,1.68,2.16,2017-M020,Brisbane,Hard,32.0,A,20170102.0,296.0,105777.0,7.0,,Grigor Dimitrov,R,188.0,BUL,25.6,106233.0,4.0,,Dominic Thiem,R,185.0,AUT,23.3,6-3 4-6 6-3,3.0,QF,124.0,3.0,3.0,94.0,52.0,42.0,23.0,14.0,13.0,14.0,6.0,5.0,82.0,37.0,29.0,24.0,14.0,4.0,7.0,17.0,2035.0,8.0,3415.0
23,1,Brisbane,Brisbane International,20170601,ATP250,Outdoor,Hard,Quarterfinals,3,Raonic M.,Nadal R.,3,9.0,5450,3300.0,4.0,6.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,2.37,1.53,2.35,1.45,2.5,1.53,2.31,1.7,2.6,1.7,2.4,1.56,2017-M020,Brisbane,Hard,32.0,A,20170102.0,297.0,105683.0,1.0,,Milos Raonic,R,196.0,CAN,26.0,104745.0,5.0,,Rafael Nadal,L,185.0,ESP,30.5,4-6 6-3 6-4,3.0,QF,140.0,23.0,3.0,97.0,62.0,50.0,16.0,15.0,6.0,7.0,4.0,0.0,84.0,61.0,39.0,14.0,14.0,2.0,4.0,3.0,5450.0,9.0,3300.0
24,1,Brisbane,Brisbane International,20170701,ATP250,Outdoor,Hard,Semifinals,3,Nishikori K.,Wawrinka S.,5,4.0,4905,5315.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.61,2.25,1.62,2.05,1.62,2.25,1.61,2.52,1.75,2.6,1.61,2.3,2017-M020,Brisbane,Hard,32.0,A,20170102.0,298.0,105453.0,3.0,,Kei Nishikori,R,178.0,JPN,27.0,104527.0,2.0,,Stan Wawrinka,R,183.0,SUI,31.7,7-6(3) 6-3,3.0,SF,101.0,1.0,1.0,77.0,56.0,37.0,14.0,11.0,4.0,5.0,9.0,2.0,61.0,37.0,27.0,10.0,10.0,0.0,2.0,5.0,4905.0,4.0,5315.0
25,1,Brisbane,Brisbane International,20170701,ATP250,Outdoor,Hard,Semifinals,3,Dimitrov G.,Raonic M.,17,3.0,2035,5450.0,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.75,1.44,2.4,1.45,2.75,1.44,2.99,1.46,3.0,1.5,2.7,1.45,2017-M020,Brisbane,Hard,32.0,A,20170102.0,299.0,105777.0,7.0,,Grigor Dimitrov,R,188.0,BUL,25.6,105683.0,1.0,,Milos Raonic,R,196.0,CAN,26.0,7-6(7) 6-2,3.0,SF,87.0,4.0,1.0,58.0,36.0,27.0,18.0,10.0,0.0,0.0,4.0,3.0,61.0,28.0,24.0,16.0,10.0,2.0,4.0,17.0,2035.0,3.0,5450.0
26,1,Brisbane,Brisbane International,20170801,ATP250,Outdoor,Hard,The Final,3,Dimitrov G.,Nishikori K.,17,5.0,2035,4905.0,6.0,2.0,2.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,2.75,1.44,2.5,1.42,2.75,1.44,2.74,1.53,2.85,1.55,2.65,1.48,2017-M020,Brisbane,Hard,32.0,A,20170102.0,300.0,105777.0,7.0,,Grigor Dimitrov,R,188.0,BUL,25.6,105453.0,3.0,,Kei Nishikori,R,178.0,JPN,27.0,6-2 2-6 6-3,3.0,F,108.0,7.0,2.0,77.0,52.0,41.0,12.0,13.0,5.0,7.0,4.0,0.0,69.0,49.0,36.0,9.0,12.0,2.0,5.0,17.0,2035.0,5.0,4905.0
27,2,Chennai,Chennai Open,20170201,ATP250,Outdoor,Hard,1st Round,3,Darcis S.,Mektic N.,86,331.0,658,144.0,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.22,4.0,1.22,3.5,1.22,4.33,1.26,4.25,1.26,4.33,1.23,4.06,2017-0891,Chennai,Hard,32.0,A,20170102.0,280.0,104327.0,,,Steve Darcis,R,178.0,BEL,32.8,105254.0,,Q,Nikola Mektic,R,183.0,CRO,28.0,6-2 6-3,3.0,R32,59.0,1.0,0.0,39.0,25.0,20.0,12.0,8.0,0.0,0.0,4.0,0.0,48.0,30.0,15.0,9.0,9.0,0.0,4.0,86.0,658.0,331.0,144.0
28,2,Chennai,Chennai Open,20170201,ATP250,Outdoor,Hard,1st Round,3,Sela D.,Dzumhur D.,96,77.0,616,699.0,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.0,1.72,1.95,1.68,2.0,1.73,2.1,1.81,2.1,1.83,2.02,1.77,2017-0891,Chennai,Hard,32.0,A,20170102.0,279.0,104534.0,,,Dudi Sela,R,175.0,ISR,31.7,106000.0,,,Damir Dzumhur,R,172.0,BIH,24.6,6-2 6-2,3.0,R32,62.0,2.0,0.0,53.0,36.0,28.0,11.0,8.0,5.0,5.0,1.0,4.0,57.0,29.0,17.0,10.0,8.0,4.0,8.0,96.0,616.0,77.0,699.0
29,2,Chennai,Chennai Open,20170201,ATP250,Outdoor,Hard,1st Round,3,Medvedev D.,Monteiro T.,99,82.0,611,674.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.18,4.5,1.17,4.0,1.18,4.33,1.25,4.36,1.25,4.7,1.21,4.3,2017-0891,Chennai,Hard,32.0,A,20170102.0,283.0,106421.0,,,Daniil Medvedev,R,198.0,RUS,20.8,106329.0,,,Thiago Monteiro,L,183.0,BRA,22.5,6-3 6-3,3.0,R32,96.0,8.0,4.0,72.0,46.0,33.0,12.0,9.0,3.0,4.0,2.0,3.0,67.0,43.0,25.0,11.0,9.0,6.0,10.0,99.0,611.0,82.0,674.0
