,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
20,1,Adelaide,Next Generation Hardcourts,20050601,International,Outdoor,Hard,2nd Round,3,Melzer J.,Delic A.,39,173.0,,,6.0,3.0,6,3,,,,,,,2.0,0.0,Completed,1.33,3.25,1.37,3.0,1.37,2.92,1.35,2.5,1.418,3.09,2005-339,Adelaide,Hard,32.0,A,20050103.0,20.0,103781.0,8.0,,Jurgen Melzer,L,183.0,AUT,23.6,104025.0,,Q,Amer Delic,R,196.0,BIH,22.5,6-3 6-3,3.0,R16,61.0,3.0,1.0,64.0,39.0,29.0,12.0,9.0,2.0,3.0,3.0,3.0,48.0,29.0,18.0,8.0,9.0,4.0,8.0,39.0,920.0,173.0,251.0
21,1,Adelaide,Next Generation Hardcourts,20050601,International,Outdoor,Hard,2nd Round,3,Chela J.I.,Lisnard J.R.,26,132.0,,,7.0,5.0,7,5,,,,,,,2.0,0.0,Completed,1.22,4.0,1.2,4.2,1.28,3.46,1.3,2.7,1.273,4.11,2005-339,Adelaide,Hard,32.0,A,20050103.0,19.0,103428.0,4.0,,Juan Ignacio Chela,R,190.0,ARG,25.3,103444.0,,Q,Jean Rene Lisnard,R,173.0,MON,25.2,7-5 7-5,3.0,R16,109.0,6.0,0.0,80.0,54.0,41.0,11.0,12.0,7.0,9.0,0.0,8.0,80.0,36.0,26.0,19.0,12.0,3.0,7.0,26.0,1135.0,132.0,334.0
22,1,Adelaide,Next Generation Hardcourts,20050601,International,Outdoor,Hard,2nd Round,3,Hewitt L.,Calleri A.,3,58.0,,,6.0,1.0,6,4,,,,,,,2.0,0.0,Completed,1.1,6.5,1.11,6.0,1.17,4.67,1.1,4.5,1.143,6.3,2005-339,Adelaide,Hard,32.0,A,20050103.0,17.0,103720.0,1.0,,Lleyton Hewitt,R,180.0,AUS,23.8,102860.0,,,Agustin Calleri,R,183.0,ARG,28.3,6-1 6-4,3.0,R16,61.0,7.0,2.0,54.0,33.0,27.0,11.0,9.0,2.0,3.0,1.0,1.0,47.0,21.0,10.0,12.0,8.0,2.0,6.0,3.0,3590.0,58.0,685.0
23,1,Adelaide,Next Generation Hardcourts,20050601,International,Outdoor,Hard,2nd Round,3,Dent T.,Benneteau J.,32,65.0,,,4.0,6.0,6,1,6,2,,,,,2.0,1.0,Completed,1.44,2.62,1.6,2.3,1.48,2.53,1.35,2.5,1.629,2.39,2005-339,Adelaide,Hard,32.0,A,20050103.0,18.0,103758.0,5.0,,Taylor Dent,R,188.0,USA,23.6,103898.0,,,Julien Benneteau,R,185.0,FRA,23.0,4-6 6-1 6-2,3.0,R16,98.0,9.0,5.0,79.0,43.0,32.0,17.0,13.0,1.0,4.0,5.0,3.0,84.0,55.0,30.0,11.0,12.0,7.0,13.0,32.0,955.0,65.0,593.0
24,1,Adelaide,Next Generation Hardcourts,20050701,International,Outdoor,Hard,Quarterfinals,3,Rochus O.,Kiefer N.,66,21.0,,,6.0,7.0,7,6,7,5,,,,,2.0,1.0,Completed,2.75,1.39,2.85,1.4,2.92,1.37,2.5,1.35,3.26,1.376,2005-339,Adelaide,Hard,32.0,A,20050103.0,27.0,103694.0,,,Olivier Rochus,R,168.0,BEL,23.9,103017.0,3.0,,Nicolas Kiefer,R,183.0,GER,27.4,6-7(4) 7-6(6) 7-5,3.0,QF,187.0,3.0,7.0,130.0,71.0,42.0,34.0,18.0,5.0,10.0,12.0,8.0,120.0,60.0,42.0,29.0,18.0,7.0,13.0,66.0,585.0,21.0,1240.0
25,1,Adelaide,Next Generation Hardcourts,20050701,International,Outdoor,Hard,Quarterfinals,3,Johansson J.,Enqvist T.,11,72.0,,,6.0,3.0,4,6,6,1,,,,,2.0,1.0,Completed,1.33,3.25,1.33,3.2,1.36,2.97,1.35,2.5,1.435,3.0,2005-339,Adelaide,Hard,32.0,A,20050103.0,28.0,104026.0,2.0,,Joachim Johansson,R,198.0,SWE,22.5,102358.0,,,Thomas Enqvist,R,190.0,SWE,30.8,6-3 4-6 6-1,3.0,QF,99.0,14.0,7.0,72.0,38.0,33.0,19.0,13.0,4.0,5.0,10.0,9.0,88.0,41.0,30.0,22.0,13.0,7.0,11.0,11.0,1595.0,72.0,538.0
26,1,Adelaide,Next Generation Hardcourts,20050701,International,Outdoor,Hard,Quarterfinals,3,Chela J.I.,Melzer J.,26,39.0,,,7.0,6.0,5,7,6,2,,,,,2.0,1.0,Completed,1.9,1.8,1.88,1.88,1.9,1.85,1.9,1.6,1.82,2.02,2005-339,Adelaide,Hard,32.0,A,20050103.0,26.0,103428.0,4.0,,Juan Ignacio Chela,R,190.0,ARG,25.3,103781.0,8.0,,Jurgen Melzer,L,183.0,AUT,23.6,7-6(3) 5-7 6-2,3.0,QF,123.0,0.0,1.0,97.0,73.0,52.0,13.0,16.0,4.0,8.0,8.0,3.0,106.0,61.0,41.0,19.0,16.0,5.0,10.0,26.0,1135.0,39.0,920.0
27,1,Adelaide,Next Generation Hardcourts,20050701,International,Outdoor,Hard,Quarterfinals,3,Dent T.,Hewitt L.,32,3.0,,,7.0,6.0,6,3,,,,,,,2.0,0.0,Completed,5.5,1.12,6.25,1.11,5.85,1.1,3.8,1.15,7.1,1.125,2005-339,Adelaide,Hard,32.0,A,20050103.0,25.0,103758.0,5.0,,Taylor Dent,R,188.0,USA,23.6,103720.0,1.0,,Lleyton Hewitt,R,180.0,AUS,23.8,7-6(4) 6-3,3.0,QF,86.0,5.0,4.0,81.0,41.0,36.0,19.0,11.0,4.0,5.0,3.0,2.0,63.0,38.0,28.0,15.0,10.0,1.0,3.0,32.0,955.0,3.0,3590.0
28,1,Adelaide,Next Generation Hardcourts,20050801,International,Outdoor,Hard,Semifinals,3,Johansson J.,Rochus O.,11,66.0,,,6.0,1.0,7,6,,,,,,,2.0,0.0,Completed,1.3,3.39,1.22,4.0,1.22,3.98,1.3,2.9,1.274,4.1,2005-339,Adelaide,Hard,32.0,A,20050103.0,30.0,104026.0,2.0,,Joachim Johansson,R,198.0,SWE,22.5,103694.0,,,Olivier Rochus,R,168.0,BEL,23.9,6-1 7-6(5),3.0,SF,72.0,16.0,3.0,48.0,25.0,22.0,17.0,9.0,1.0,2.0,1.0,2.0,63.0,31.0,15.0,22.0,10.0,2.0,6.0,11.0,1595.0,66.0,585.0
29,1,Adelaide,Next Generation Hardcourts,20050801,International,Outdoor,Hard,Semifinals,3,Dent T.,Chela J.I.,32,26.0,,,6.0,1.0,6,1,,,,,,,2.0,0.0,Completed,1.57,2.25,1.6,2.3,1.6,2.3,1.5,2.2,1.671,2.29,2005-339,Adelaide,Hard,32.0,A,20050103.0,29.0,103758.0,5.0,,Taylor Dent,R,188.0,USA,23.6,103428.0,4.0,,Juan Ignacio Chela,R,190.0,ARG,25.3,6-1 6-1,3.0,SF,51.0,10.0,3.0,44.0,25.0,22.0,11.0,7.0,6.0,6.0,1.0,2.0,49.0,34.0,20.0,2.0,7.0,8.0,13.0,32.0,955.0,26.0,1135.0
