,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
20,1,Adelaide,AAPT Championships,20040801,International,Outdoor,Hard,2nd Round,3,Nieminen J.,Sanguinetti D.,36.0,65.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.571,2.25,1.67,2.15,1.5,2.45,1.6,1.9,1.645,2.39,2004-339,Adelaide,Hard,32.0,A,20040105.0,18.0,103813.0,6.0,,Jarkko Nieminen,L,185.0,FIN,22.4,102106.0,,,Davide Sanguinetti,R,188.0,ITA,31.3,7-6(2) 6-4,3.0,R16,77.0,5.0,2.0,72.0,48.0,35.0,13.0,11.0,6.0,8.0,4.0,1.0,65.0,41.0,30.0,9.0,11.0,1.0,4.0,36.0,980.0,65.0,542.0
21,1,Adelaide,AAPT Championships,20040801,International,Outdoor,Hard,2nd Round,3,Reid T.,Sluiter R.,243.0,59.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.1,1.667,1.9,1.85,2.0,1.75,1.9,1.6,1.952,1.901,2004-339,Adelaide,Hard,32.0,A,20040105.0,17.0,104379.0,,WC,Todd Reid,R,180.0,AUS,19.5,103171.0,,,Raemon Sluiter,R,185.0,NED,25.7,6-3 6-2,3.0,R16,52.0,3.0,0.0,59.0,45.0,33.0,8.0,9.0,3.0,3.0,5.0,2.0,44.0,27.0,20.0,5.0,8.0,0.0,3.0,243.0,145.0,59.0,608.0
22,1,Adelaide,AAPT Championships,20040801,International,Outdoor,Hard,2nd Round,3,Saulnier C.,Rusedski G.,86.0,119.0,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.75,1.4,2.65,1.45,2.6,1.45,2.7,1.3,2.65,1.541,2004-339,Adelaide,Hard,32.0,A,20040105.0,19.0,102642.0,,,Cyril Saulnier,R,190.0,FRA,28.3,102257.0,,,Greg Rusedski,L,193.0,GBR,30.3,6-2 6-2,3.0,R16,54.0,6.0,1.0,43.0,28.0,23.0,11.0,8.0,2.0,2.0,3.0,7.0,53.0,37.0,21.0,5.0,8.0,8.0,12.0,86.0,423.0,119.0,347.0
23,1,Adelaide,AAPT Championships,20040801,International,Outdoor,Hard,2nd Round,3,Hrbaty D.,Martin A.,61.0,54.0,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.667,2.1,1.8,1.95,1.7,2.1,1.55,2.0,1.847,2.02,2004-339,Adelaide,Hard,32.0,A,20040105.0,20.0,103103.0,,,Dominik Hrbaty,R,183.0,SVK,26.0,103252.0,7.0,,Alberto Martin,R,175.0,ESP,25.3,6-2 6-3,3.0,R16,57.0,5.0,1.0,45.0,32.0,24.0,8.0,9.0,0.0,1.0,1.0,2.0,49.0,28.0,15.0,10.0,8.0,1.0,5.0,61.0,584.0,54.0,667.0
24,1,Adelaide,AAPT Championships,20040901,International,Outdoor,Hard,Quarterfinals,3,Nieminen J.,Reid T.,36.0,243.0,6.0,2.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.667,2.1,1.67,2.15,1.48,2.53,1.55,2.0,1.658,2.36,2004-339,Adelaide,Hard,32.0,A,20040105.0,25.0,103813.0,6.0,,Jarkko Nieminen,L,185.0,FIN,22.4,104379.0,,WC,Todd Reid,R,180.0,AUS,19.5,6-2 7-5,3.0,QF,81.0,3.0,1.0,52.0,35.0,28.0,10.0,10.0,0.0,1.0,2.0,1.0,84.0,61.0,32.0,12.0,10.0,8.0,12.0,36.0,980.0,243.0,145.0
25,1,Adelaide,AAPT Championships,20040901,International,Outdoor,Hard,Quarterfinals,3,Hrbaty D.,Saulnier C.,61.0,86.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.833,1.833,1.75,2.0,1.85,1.85,1.55,2.0,1.862,2.0,2004-339,Adelaide,Hard,32.0,A,20040105.0,26.0,103103.0,,,Dominik Hrbaty,R,183.0,SVK,26.0,102642.0,,,Cyril Saulnier,R,190.0,FRA,28.3,6-4 7-6(1),3.0,QF,125.0,2.0,2.0,73.0,46.0,35.0,15.0,11.0,3.0,4.0,9.0,7.0,66.0,34.0,28.0,15.0,11.0,2.0,4.0,61.0,584.0,86.0,423.0
26,1,Adelaide,AAPT Championships,20040901,International,Outdoor,Hard,Quarterfinals,3,Llodra M.,Spadea V.,173.0,29.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.25,1.571,2.5,1.5,2.3,1.6,1.9,1.6,2.63,1.552,2004-339,Adelaide,Hard,32.0,A,20040105.0,28.0,103566.0,,Q,Michael Llodra,L,190.0,FRA,23.6,102434.0,2.0,,Vincent Spadea,R,183.0,USA,29.4,6-4 6-2,3.0,QF,63.0,2.0,1.0,48.0,26.0,23.0,15.0,9.0,1.0,1.0,1.0,2.0,62.0,41.0,27.0,9.0,9.0,4.0,7.0,173.0,214.0,29.0,1100.0
27,1,Adelaide,AAPT Championships,20040901,International,Outdoor,Hard,Quarterfinals,3,Dent T.,Johansson T.,33.0,,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.571,2.25,1.58,2.3,1.65,2.15,1.65,1.85,1.633,2.42,2004-339,Adelaide,Hard,32.0,A,20040105.0,27.0,103758.0,5.0,,Taylor Dent,R,188.0,USA,22.6,102563.0,,WC,Thomas Johansson,R,180.0,SWE,28.7,7-6(2) 6-2,3.0,QF,86.0,14.0,5.0,63.0,35.0,33.0,13.0,10.0,3.0,4.0,4.0,4.0,80.0,46.0,29.0,16.0,10.0,8.0,11.0,33.0,1045.0,,
28,1,Adelaide,AAPT Championships,20041001,International,Outdoor,Hard,Semifinals,3,Hrbaty D.,Nieminen J.,61.0,36.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.1,1.667,2.15,1.67,2.1,1.7,2.2,1.45,2.25,1.709,2004-339,Adelaide,Hard,32.0,A,20040105.0,29.0,103103.0,,,Dominik Hrbaty,R,183.0,SVK,26.0,103813.0,6.0,,Jarkko Nieminen,L,185.0,FIN,22.4,6-4 6-2,3.0,SF,58.0,2.0,1.0,58.0,46.0,35.0,3.0,9.0,4.0,5.0,1.0,1.0,54.0,32.0,21.0,7.0,9.0,2.0,6.0,61.0,584.0,36.0,980.0
29,1,Adelaide,AAPT Championships,20041001,International,Outdoor,Hard,Semifinals,3,Llodra M.,Dent T.,173.0,33.0,6.0,3.0,7.0,5.0,,,,,,,2.0,0.0,Completed,3.0,1.333,2.85,1.4,2.71,1.43,2.3,1.4,3.26,1.383,2004-339,Adelaide,Hard,32.0,A,20040105.0,30.0,103566.0,,Q,Michael Llodra,L,190.0,FRA,23.6,103758.0,5.0,,Taylor Dent,R,188.0,USA,22.6,6-3 7-5,3.0,SF,67.0,5.0,1.0,58.0,41.0,33.0,8.0,11.0,2.0,4.0,6.0,5.0,63.0,29.0,20.0,14.0,10.0,3.0,7.0,173.0,214.0,33.0,1045.0
