,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
24,1,Adelaide,AAPT Championships,20010101,International,Outdoor,Hard,Quarterfinals,3,Haas T.,Hewitt L.,23,7,6.0,4.0,0.0,6.0,6.0,1.0,,,,,2,1,Completed,2.3,1.53,,,1.9,1.5,,,2001-339,Adelaide,Hard,32.0,A,20010101.0,25.0,103163.0,5.0,,Tommy Haas,R,188.0,GER,22.7,103720.0,1.0,,Lleyton Hewitt,R,180.0,AUS,19.8,6-4 0-6 6-1,3.0,QF,97.0,6.0,3.0,73.0,38.0,28.0,17.0,12.0,5.0,8.0,3.0,3.0,59.0,33.0,19.0,19.0,11.0,0.0,3.0,23.0,1145.0,7.0,2625.0
25,1,Adelaide,AAPT Championships,20010101,International,Outdoor,Hard,Quarterfinals,3,Henman T.,Johansson T.,10,39,7.0,6.0,6.0,7.0,6.0,3.0,,,,,2,1,Completed,1.4,2.75,1.47,2.2,1.35,2.2,1.25,3.5,2001-339,Adelaide,Hard,32.0,A,20010101.0,28.0,102450.0,2.0,,Tim Henman,R,185.0,GBR,26.3,102563.0,7.0,,Thomas Johansson,R,180.0,SWE,25.7,7-6(2) 6-7(4) 6-3,3.0,QF,155.0,8.0,3.0,105.0,66.0,48.0,21.0,17.0,1.0,4.0,2.0,1.0,113.0,63.0,41.0,26.0,16.0,7.0,11.0,10.0,2020.0,39.0,930.0
26,1,Adelaide,AAPT Championships,20010101,International,Outdoor,Hard,Quarterfinals,3,Massu N.,Ljubicic I.,87,91,6.0,7.0,7.0,6.0,6.0,2.0,,,,,2,1,Completed,2.0,1.7,2.0,1.61,1.75,1.65,,,2001-339,Adelaide,Hard,32.0,A,20010101.0,27.0,103454.0,,,Nicolas Massu,R,183.0,CHI,21.2,103344.0,,,Ivan Ljubicic,R,193.0,CRO,21.7,6-7(5) 7-6(5) 6-2,3.0,QF,158.0,5.0,1.0,99.0,53.0,44.0,23.0,16.0,1.0,3.0,22.0,3.0,111.0,61.0,49.0,19.0,16.0,3.0,7.0,87.0,496.0,91.0,484.0
27,1,Adelaide,AAPT Championships,20010101,International,Outdoor,Hard,Quarterfinals,3,Stoltenberg J.,Martin A.,66,79,6.0,3.0,6.0,4.0,,,,,,,2,0,Completed,1.35,3.0,1.41,2.4,1.4,2.1,1.4,2.75,2001-339,Adelaide,Hard,32.0,A,20010101.0,26.0,101727.0,,,Jason Stoltenberg,R,185.0,AUS,30.7,103252.0,,,Alberto Martin,R,175.0,ESP,22.3,6-3 6-4,3.0,QF,68.0,2.0,1.0,54.0,31.0,24.0,18.0,10.0,0.0,0.0,2.0,5.0,53.0,30.0,19.0,13.0,9.0,1.0,3.0,66.0,606.0,79.0,518.0
28,1,Adelaide,AAPT Championships,20010101,International,Outdoor,Hard,Semifinals,3,Haas T.,Stoltenberg J.,23,66,7.0,6.0,6.0,4.0,,,,,,,2,0,Completed,,,,,,,,,2001-339,Adelaide,Hard,32.0,A,20010101.0,29.0,103163.0,5.0,,Tommy Haas,R,188.0,GER,22.7,101727.0,,,Jason Stoltenberg,R,185.0,AUS,30.7,7-6(3) 6-4,3.0,SF,90.0,2.0,4.0,65.0,38.0,30.0,18.0,11.0,4.0,5.0,2.0,3.0,70.0,40.0,30.0,16.0,11.0,3.0,5.0,23.0,1145.0,66.0,606.0
29,1,Adelaide,AAPT Championships,20010101,International,Outdoor,Hard,Semifinals,3,Massu N.,Henman T.,87,10,3.0,6.0,7.0,5.0,6.0,2.0,,,,,2,1,Completed,,,,,,,,,2001-339,Adelaide,Hard,32.0,A,20010101.0,30.0,103454.0,,,Nicolas Massu,R,183.0,CHI,21.2,102450.0,2.0,,Tim Henman,R,185.0,GBR,26.3,3-6 7-5 6-2,3.0,SF,136.0,10.0,7.0,80.0,35.0,30.0,23.0,14.0,4.0,6.0,6.0,3.0,95.0,58.0,42.0,14.0,15.0,3.0,7.0,87.0,496.0,10.0,2020.0
30,1,Adelaide,AAPT Championships,20010101,International,Outdoor,Hard,The Final,3,Haas T.,Massu N.,23,87,6.0,3.0,6.0,1.0,,,,,,,2,0,Completed,1.35,3.0,1.4,2.4,1.4,2.1,,,2001-339,Adelaide,Hard,32.0,A,20010101.0,31.0,103163.0,5.0,,Tommy Haas,R,188.0,GER,22.7,103454.0,,,Nicolas Massu,R,183.0,CHI,21.2,6-3 6-1,3.0,F,83.0,10.0,4.0,48.0,25.0,21.0,14.0,8.0,0.0,0.0,1.0,6.0,62.0,23.0,13.0,19.0,8.0,8.0,12.0,23.0,1145.0,87.0,496.0
31,2,Chennai,TATA Open,20010101,International,Outdoor,Hard,1st Round,3,Agenor R.,Zib T.,137,117,6.0,3.0,6.0,2.0,,,,,,,2,0,Completed,2.3,1.53,1.8,1.66,1.9,1.5,,,2001-891,Chennai,Hard,32.0,A,20010101.0,6.0,101086.0,,,Ronald Agenor,R,180.0,USA,36.1,102720.0,,,Tomas Zib,R,178.0,CZE,24.9,6-3 6-2,3.0,R32,69.0,1.0,1.0,53.0,32.0,23.0,11.0,9.0,4.0,6.0,3.0,2.0,54.0,26.0,15.0,11.0,8.0,8.0,13.0,137.0,278.0,117.0,327.0
32,2,Chennai,TATA Open,20010101,International,Outdoor,Hard,1st Round,3,Black B.,Davydenko N.,35,133,6.0,4.0,4.0,6.0,6.0,3.0,,,,,2,1,Completed,,,,,,,,,2001-891,Chennai,Hard,32.0,A,20010101.0,12.0,101647.0,4.0,,Byron Black,R,175.0,ZIM,31.2,103786.0,,Q,Nikolay Davydenko,R,178.0,RUS,19.5,6-4 4-6 6-3,3.0,R32,120.0,7.0,1.0,97.0,59.0,47.0,21.0,15.0,1.0,2.0,9.0,2.0,96.0,57.0,42.0,21.0,14.0,6.0,8.0,35.0,960.0,133.0,283.0
33,2,Chennai,TATA Open,20010101,International,Outdoor,Hard,1st Round,3,Dent T.,Norman M.,181,4,6.0,3.0,7.0,6.0,,,,,,,2,0,Completed,4.75,1.14,3.5,1.17,3.0,1.15,,,2001-891,Chennai,Hard,32.0,A,20010101.0,1.0,103758.0,,WC,Taylor Dent,R,188.0,USA,19.6,102796.0,1.0,,Magnus Norman,R,188.0,SWE,24.5,6-3 7-6(3),3.0,R32,92.0,11.0,9.0,76.0,40.0,37.0,17.0,11.0,7.0,8.0,1.0,3.0,79.0,50.0,33.0,14.0,10.0,7.0,9.0,181.0,209.0,4.0,3110.0
