,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
20,1,Brisbane,Brisbane International,20140301,ATP250,Outdoor,Hard,Quarterfinals,3,Nishikori K.,Cilic M.,17,37.0,1915,1130.0,6.0,4.0,5.0,7.0,6.0,2.0,,,,,2.0,1.0,Completed,2.1,1.66,2.05,1.75,2.0,1.73,2.14,1.81,2.0,1.8,2.14,1.83,2.04,1.74,2014-339,Brisbane,Hard,28.0,A,20131229.0,24.0,105453.0,2.0,,Kei Nishikori,R,178.0,JPN,24.0,105227.0,,,Marin Cilic,R,198.0,CRO,25.2,6-4 5-7 6-2,3.0,QF,157.0,6.0,2.0,105.0,58.0,45.0,26.0,15.0,14.0,15.0,14.0,11.0,119.0,52.0,38.0,33.0,15.0,12.0,15.0,17.0,1915.0,37.0,1130.0
21,1,Brisbane,Brisbane International,20140301,ATP250,Outdoor,Hard,Quarterfinals,3,Hewitt L.,Copil M.,60,147.0,780,369.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.3,3.4,1.33,3.2,1.33,3.25,1.32,3.79,1.29,3.5,1.36,3.9,1.32,3.35,2014-339,Brisbane,Hard,28.0,A,20131229.0,23.0,103720.0,,,Lleyton Hewitt,R,180.0,AUS,32.8,105657.0,,Q,Marius Copil,R,193.0,ROU,23.2,6-4 6-2,3.0,QF,72.0,5.0,1.0,48.0,25.0,21.0,15.0,9.0,2.0,3.0,7.0,3.0,59.0,30.0,22.0,9.0,9.0,1.0,5.0,60.0,780.0,147.0,369.0
22,1,Brisbane,Brisbane International,20140301,ATP250,Outdoor,Hard,Quarterfinals,3,Chardy J.,Groth S.,34,172.0,1175,307.0,7.0,5.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.36,3.0,1.48,2.6,1.44,2.62,1.43,3.1,1.44,2.75,1.48,3.15,1.42,2.83,2014-339,Brisbane,Hard,28.0,A,20131229.0,22.0,104871.0,8.0,,Jeremy Chardy,R,188.0,FRA,26.8,105032.0,,WC,Sam Groth,R,193.0,AUS,26.1,7-5 6-4,3.0,QF,69.0,7.0,0.0,52.0,40.0,34.0,11.0,11.0,2.0,2.0,12.0,1.0,60.0,41.0,32.0,11.0,11.0,3.0,5.0,34.0,1175.0,172.0,307.0
23,1,Brisbane,Brisbane International,20140301,ATP250,Outdoor,Hard,Quarterfinals,3,Federer R.,Matosevic M.,6,61.0,4205,774.0,6.0,1.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.05,9.0,1.08,7.5,1.11,6.0,1.08,10.75,1.1,7.0,1.12,10.75,1.08,7.72,2014-339,Brisbane,Hard,28.0,A,20131229.0,21.0,103819.0,1.0,,Roger Federer,R,185.0,SUI,32.3,104594.0,,,Marinko Matosevic,R,194.0,AUS,28.3,6-1 6-1,3.0,QF,58.0,9.0,1.0,41.0,25.0,21.0,9.0,7.0,3.0,3.0,3.0,5.0,54.0,30.0,16.0,7.0,7.0,4.0,9.0,6.0,4205.0,61.0,774.0
24,1,Brisbane,Brisbane International,20140401,ATP250,Outdoor,Hard,Semifinals,3,Hewitt L.,Nishikori K.,60,17.0,780,1915.0,5.0,7.0,6.0,4.0,6.0,3.0,,,,,2.0,1.0,Completed,2.37,1.57,2.35,1.58,2.38,1.57,2.45,1.64,2.38,1.57,2.5,1.85,2.35,1.58,2014-339,Brisbane,Hard,28.0,A,20131229.0,26.0,103720.0,,,Lleyton Hewitt,R,180.0,AUS,32.8,105453.0,2.0,,Kei Nishikori,R,178.0,JPN,24.0,5-7 6-4 6-3,3.0,SF,150.0,7.0,3.0,102.0,45.0,40.0,30.0,16.0,6.0,7.0,12.0,6.0,101.0,61.0,44.0,20.0,15.0,10.0,12.0,60.0,780.0,17.0,1915.0
25,1,Brisbane,Brisbane International,20140401,ATP250,Outdoor,Hard,Semifinals,3,Federer R.,Chardy J.,6,34.0,4205,1175.0,6.0,3.0,6.0,7.0,6.0,3.0,,,,,2.0,1.0,Completed,1.07,9.0,1.07,8.0,1.07,7.5,1.08,10.75,1.08,7.5,1.1,11.5,1.07,8.35,2014-339,Brisbane,Hard,28.0,A,20131229.0,25.0,103819.0,1.0,,Roger Federer,R,185.0,SUI,32.3,104871.0,8.0,,Jeremy Chardy,R,188.0,FRA,26.8,6-3 6-7(3) 6-3,3.0,SF,116.0,20.0,3.0,95.0,56.0,46.0,23.0,16.0,1.0,1.0,4.0,7.0,86.0,43.0,36.0,21.0,14.0,1.0,3.0,6.0,4205.0,34.0,1175.0
26,1,Brisbane,Brisbane International,20140501,ATP250,Outdoor,Hard,The Final,3,Hewitt L.,Federer R.,60,6.0,780,4205.0,6.0,1.0,4.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,5.0,1.14,4.5,1.18,5.0,1.17,6.0,1.17,5.0,1.17,6.0,1.21,5.05,1.16,2014-339,Brisbane,Hard,28.0,A,20131229.0,27.0,103720.0,,,Lleyton Hewitt,R,180.0,AUS,32.8,103819.0,1.0,,Roger Federer,R,185.0,SUI,32.3,6-1 4-6 6-3,3.0,F,127.0,4.0,4.0,101.0,50.0,40.0,26.0,13.0,9.0,10.0,13.0,0.0,86.0,55.0,38.0,14.0,13.0,7.0,11.0,60.0,780.0,6.0,4205.0
27,2,Chennai,Chennai Open,20131230,ATP250,Outdoor,Hard,1st Round,3,Lu Y.H.,Smyczek T.,65,89.0,730,600.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.53,2.37,1.55,2.4,1.5,2.5,1.61,2.45,1.57,2.25,1.85,2.63,1.57,2.36,2014-891,Chennai,Hard,28.0,A,20131230.0,5.0,104229.0,,,Yen Hsun Lu,R,180.0,TPE,30.3,105065.0,,,Tim Smyczek,R,175.0,USA,26.0,6-4 6-2,3.0,R32,73.0,0.0,3.0,51.0,31.0,22.0,8.0,9.0,2.0,5.0,0.0,1.0,61.0,44.0,23.0,4.0,9.0,4.0,10.0,65.0,730.0,89.0,600.0
28,2,Chennai,Chennai Open,20131230,ATP250,Outdoor,Hard,1st Round,3,Vesely J.,Nedunchezhiyan J.,85,314.0,616,141.0,7.0,5.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.12,6.0,1.12,5.75,1.11,6.0,1.14,6.5,1.13,5.5,1.17,6.5,1.13,5.75,2014-891,Chennai,Hard,28.0,A,20131230.0,11.0,106210.0,,,Jiri Vesely,L,198.0,CZE,20.4,105233.0,,WC,Jeevan Nedunchezhiyan,L,173.0,IND,25.1,7-5 6-2,3.0,R32,83.0,5.0,6.0,57.0,32.0,24.0,14.0,10.0,2.0,4.0,0.0,3.0,58.0,35.0,16.0,13.0,10.0,1.0,6.0,85.0,616.0,314.0,141.0
29,2,Chennai,Chennai Open,20131230,ATP250,Outdoor,Hard,1st Round,3,Sela D.,Lacko L.,73,81.0,681,625.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.8,1.9,1.85,1.9,1.83,1.83,1.93,1.96,1.73,2.0,1.93,2.2,1.83,1.92,2014-891,Chennai,Hard,28.0,A,20131230.0,12.0,104534.0,,,Dudi Sela,R,175.0,ISR,28.7,105041.0,,,Lukas Lacko,R,185.0,SVK,26.1,6-4 6-2,3.0,R32,87.0,2.0,1.0,67.0,42.0,29.0,14.0,9.0,5.0,6.0,4.0,6.0,77.0,46.0,26.0,15.0,9.0,6.0,10.0,73.0,681.0,81.0,625.0
