,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,SJW,SJL,UBW,UBL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
20,1,Brisbane,Brisbane International,20090701,ATP250,Outdoor,Hard,2nd Round,3,Tsonga J.W.,Nieminen J.,7,41.0,3950,1600.0,0.0,6.0,7.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,1.28,3.5,1.3,3.55,1.3,3.4,1.25,3.75,1.28,3.55,2009-339,Brisbane,Hard,32.0,A,20090104.0,24.0,104542.0,2.0,,Jo-Wilfried Tsonga,R,188.0,FRA,23.7,103813.0,,,Jarkko Nieminen,L,185.0,FIN,27.4,0-6 7-6(1) 7-6(5),3.0,R16,135.0,9.0,2.0,95.0,62.0,45.0,15.0,15.0,1.0,5.0,0.0,0.0,101.0,69.0,44.0,19.0,15.0,5.0,6.0,7.0,3950.0,41.0,1600.0
21,1,Brisbane,Brisbane International,20090701,ATP250,Outdoor,Hard,2nd Round,3,Verdasco F.,Ancic M.,15,35.0,2830,1800.0,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.72,2.0,1.85,1.95,,,1.9,1.9,1.74,2.04,2009-339,Brisbane,Hard,32.0,A,20090104.0,19.0,104269.0,3.0,,Fernando Verdasco,L,188.0,ESP,25.1,104339.0,,,Mario Ancic,R,196.0,CRO,24.7,6-2 6-3,3.0,R16,79.0,6.0,1.0,53.0,39.0,33.0,8.0,9.0,5.0,5.0,2.0,0.0,55.0,33.0,20.0,11.0,8.0,2.0,5.0,15.0,2830.0,35.0,1800.0
22,1,Brisbane,Brisbane International,20090701,ATP250,Outdoor,Hard,2nd Round,3,Stepanek R.,Llodra M.,26,54.0,2260,1400.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.4,2.75,1.4,3.0,1.4,2.75,1.444,2.75,1.45,2.7,2009-339,Brisbane,Hard,32.0,A,20090104.0,21.0,103285.0,8.0,,Radek Stepanek,R,185.0,CZE,30.1,103566.0,,,Michael Llodra,L,190.0,FRA,28.6,7-6(2) 6-3,3.0,R16,93.0,6.0,3.0,71.0,38.0,35.0,18.0,11.0,2.0,2.0,5.0,3.0,67.0,43.0,33.0,10.0,10.0,3.0,4.0,26.0,2260.0,54.0,1400.0
23,1,Brisbane,Brisbane International,20090701,ATP250,Outdoor,Hard,2nd Round,3,Nishikori K.,Berdych T.,61,20.0,1280,2430.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,2.75,1.4,2.89,1.42,3.0,1.364,2.875,1.4,2.7,1.44,2009-339,Brisbane,Hard,32.0,A,20090104.0,18.0,105453.0,,,Kei Nishikori,R,178.0,JPN,19.0,104607.0,5.0,,Tomas Berdych,R,196.0,CZE,23.3,7-6(7) 6-3,3.0,R16,100.0,5.0,1.0,72.0,39.0,30.0,21.0,11.0,4.0,5.0,6.0,1.0,72.0,44.0,29.0,16.0,10.0,2.0,4.0,61.0,1280.0,20.0,2430.0
24,1,Brisbane,Brisbane International,20090801,ATP250,Outdoor,Hard,Quarterfinals,3,Verdasco F.,Serra F.,15,60.0,2830,1324.0,4.0,6.0,6.0,0.0,6.0,3.0,,,,,2.0,1.0,Completed,1.33,3.25,1.4,3.05,1.364,3.0,1.364,3.0,1.37,3.0,2009-339,Brisbane,Hard,32.0,A,20090104.0,26.0,104269.0,3.0,,Fernando Verdasco,L,188.0,ESP,25.1,103722.0,,,Florent Serra,R,180.0,FRA,27.8,4-6 6-0 6-3,3.0,QF,114.0,7.0,2.0,79.0,66.0,49.0,7.0,13.0,6.0,7.0,3.0,4.0,85.0,56.0,34.0,13.0,12.0,5.0,9.0,15.0,2830.0,60.0,1324.0
25,1,Brisbane,Brisbane International,20090801,ATP250,Outdoor,Hard,Quarterfinals,3,Mathieu P.H.,Nishikori K.,31,61.0,2000,1280.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.66,2.1,1.75,2.1,1.72,2.0,1.8,2.0,1.73,2.06,2009-339,Brisbane,Hard,32.0,A,20090104.0,25.0,103908.0,,,Paul Henri Mathieu,R,185.0,FRA,26.9,105453.0,,,Kei Nishikori,R,178.0,JPN,19.0,6-3 6-4,3.0,QF,87.0,6.0,3.0,63.0,43.0,29.0,13.0,10.0,4.0,5.0,4.0,4.0,64.0,34.0,21.0,16.0,9.0,2.0,5.0,31.0,2000.0,61.0,1280.0
26,1,Brisbane,Brisbane International,20090901,ATP250,Outdoor,Hard,Quarterfinals,3,Stepanek R.,Soderling R.,26,17.0,2260,2650.0,2.0,6.0,6.0,4.0,6.0,3.0,,,,,2.0,1.0,Completed,2.62,1.44,2.55,1.5,2.25,1.571,2.5,1.533,2.52,1.5,2009-339,Brisbane,Hard,32.0,A,20090104.0,27.0,103285.0,8.0,,Radek Stepanek,R,185.0,CZE,30.1,104417.0,4.0,,Robin Soderling,R,193.0,SWE,24.3,2-6 6-4 6-3,3.0,QF,106.0,6.0,4.0,72.0,38.0,31.0,14.0,14.0,2.0,7.0,9.0,4.0,78.0,43.0,30.0,13.0,13.0,8.0,13.0,26.0,2260.0,17.0,2650.0
27,1,Brisbane,Brisbane International,20090901,ATP250,Outdoor,Hard,Quarterfinals,3,Gasquet R.,Tsonga J.W.,23,7.0,2320,3950.0,1.0,6.0,6.0,4.0,6.0,2.0,,,,,2.0,1.0,Completed,2.2,1.61,2.25,1.65,1.72,2.0,2.2,1.667,2.1,1.7,2009-339,Brisbane,Hard,32.0,A,20090104.0,28.0,104755.0,7.0,,Richard Gasquet,R,185.0,FRA,22.5,104542.0,2.0,,Jo-Wilfried Tsonga,R,188.0,FRA,23.7,1-6 6-4 6-2,3.0,QF,98.0,3.0,3.0,68.0,37.0,30.0,17.0,12.0,3.0,5.0,8.0,4.0,76.0,45.0,35.0,13.0,13.0,3.0,6.0,23.0,2320.0,7.0,3950.0
28,1,Brisbane,Brisbane International,20091001,ATP250,Outdoor,Hard,Semifinals,3,Verdasco F.,Mathieu P.H.,15,31.0,2830,2000.0,6.0,2.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.72,2.0,1.83,1.98,1.72,2.0,1.8,2.0,1.82,1.95,2009-339,Brisbane,Hard,32.0,A,20090104.0,29.0,104269.0,3.0,,Fernando Verdasco,L,188.0,ESP,25.1,103908.0,,,Paul Henri Mathieu,R,185.0,FRA,26.9,6-2 6-1,3.0,SF,76.0,4.0,2.0,50.0,38.0,28.0,5.0,8.0,3.0,4.0,0.0,3.0,60.0,32.0,19.0,7.0,7.0,3.0,8.0,15.0,2830.0,31.0,2000.0
29,1,Brisbane,Brisbane International,20091001,ATP250,Outdoor,Hard,Semifinals,3,Stepanek R.,Gasquet R.,26,23.0,2260,2320.0,2.0,6.0,6.0,2.0,6.0,4.0,,,,,2.0,1.0,Completed,2.5,1.5,2.38,1.59,2.5,1.5,2.25,1.615,2.4,1.55,2009-339,Brisbane,Hard,32.0,A,20090104.0,30.0,103285.0,8.0,,Radek Stepanek,R,185.0,CZE,30.1,104755.0,7.0,,Richard Gasquet,R,185.0,FRA,22.5,2-6 6-2 6-4,3.0,SF,132.0,5.0,1.0,78.0,48.0,31.0,15.0,13.0,5.0,9.0,6.0,5.0,111.0,61.0,37.0,22.0,13.0,14.0,19.0,26.0,2260.0,23.0,2320.0
30,1,Brisbane,Brisbane International,20091101,ATP250,Outdoor,Hard,The Final,3,Stepanek R.,Verdasco F.,26,15.0,2260,2830.0,3.0,6.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,2.25,1.61,2.4,1.6,2.25,1.571,2.25,1.615,2.2,1.63,2009-339,Brisbane,Hard,32.0,A,20090104.0,31.0,103285.0,8.0,,Radek Stepanek,R,185.0,CZE,30.1,104269.0,3.0,,Fernando Verdasco,L,188.0,ESP,25.1,3-6 6-3 6-4,3.0,F,138.0,3.0,1.0,81.0,41.0,31.0,25.0,14.0,6.0,8.0,1.0,1.0,87.0,75.0,48.0,5.0,14.0,2.0,5.0,26.0,2260.0,15.0,2830.0
31,2,Chennai,Chennai Open,20090501,ATP250,Outdoor,Hard,1st Round,3,Greul S.,Gimeno-Traver D.,125,88.0,778,976.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.44,2.62,1.5,2.55,1.533,2.375,,,1.5,2.52,2009-891,Chennai,Hard,32.0,A,20090105.0,14.0,103752.0,,,Simon Greul,R,185.0,GER,27.7,104593.0,,,Daniel Gimeno Traver,R,185.0,ESP,23.4,6-3 6-4,3.0,R32,68.0,5.0,3.0,58.0,33.0,28.0,15.0,10.0,1.0,1.0,0.0,1.0,48.0,34.0,22.0,8.0,9.0,0.0,2.0,125.0,778.0,88.0,976.0
32,2,Chennai,Chennai Open,20090501,ATP250,Outdoor,Hard,1st Round,3,Phau B.,Ventura S.,118,121.0,850,814.0,6.0,2.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.28,3.5,1.32,3.4,1.364,3.0,1.286,3.25,1.3,3.4,2009-891,Chennai,Hard,32.0,A,20090105.0,15.0,103451.0,,,Bjorn Phau,R,175.0,GER,29.2,103490.0,,,Santiago Ventura,R,183.0,ESP,29.0,6-2 7-5,3.0,R32,80.0,5.0,2.0,64.0,30.0,22.0,19.0,10.0,3.0,5.0,2.0,7.0,56.0,31.0,19.0,7.0,10.0,1.0,6.0,118.0,850.0,121.0,814.0
33,2,Chennai,Chennai Open,20090501,ATP250,Outdoor,Hard,1st Round,3,Cilic M.,Martin A.,27,99.0,2250,940.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.14,5.0,1.15,5.6,1.1,6.5,1.14,5.5,1.12,6.0,2009-891,Chennai,Hard,32.0,A,20090105.0,5.0,105227.0,3.0,,Marin Cilic,R,198.0,CRO,20.2,103252.0,,,Alberto Martin,R,175.0,ESP,30.3,6-4 6-4,3.0,R32,92.0,4.0,3.0,69.0,35.0,27.0,20.0,10.0,5.0,5.0,0.0,3.0,63.0,36.0,23.0,17.0,10.0,1.0,3.0,27.0,2250.0,99.0,940.0
34,2,Chennai,Chennai Open,20090501,ATP250,Outdoor,Hard,1st Round,3,Sela D.,Ramirez-Hidalgo R.,107,119.0,906,826.0,4.0,6.0,7.0,6.0,6.0,1.0,,,,,2.0,1.0,Completed,1.25,3.75,1.3,3.55,1.3,3.4,1.286,3.5,1.25,3.8,2009-891,Chennai,Hard,32.0,A,20090105.0,7.0,104534.0,,,Dudi Sela,R,175.0,ISR,23.7,103105.0,,,Ruben Ramirez Hidalgo,R,183.0,ESP,30.9,4-6 7-6(3) 6-1,3.0,R32,144.0,4.0,1.0,81.0,50.0,38.0,14.0,14.0,4.0,8.0,5.0,9.0,121.0,70.0,43.0,21.0,15.0,11.0,17.0,107.0,906.0,119.0,826.0
